headline,category,source
İşte 2026 Dünya Kupası'na katılacak 48 takım!,Spor,Haberturk
"Milliler, FIFA sıralamasında son 9 yılın zirvesinde!",Spor,Haberturk
"Bizim Çocuklar, bu statlarda sahne alacak!",Spor,Haberturk
"Türk sporunda ""yaz güneşi""!",Spor,Haberturk
Trabzonspor deplasmanında hücum planı Mauro Icardi!,Spor,Haberturk
İşte Dünya Kupası'nda dağıtılacak para ödülleri!,Spor,Haberturk
TBF ile TEMSA arasında yeni anlaşma!,Spor,Haberturk
"""Kulübümüz kritik bir süreçten geçmektedir""",Spor,Haberturk
"""Hepsi benim arkadaşım ama yarınki maç bambaşka""",Spor,Haberturk
Franco Foda: Şansımız yüzde 50!,Spor,Haberturk
"Jannik Sinner, Miami Açık'ta şampiyon oldu!",Spor,Haberturk
"Milliler, Kosova maçına hazır!",Spor,Haberturk
Türkiye Kupası Kürek Yarışları'nda birinci Fenerbahçe!,Spor,Haberturk
Alperen Şengün bir kez daha NBA tarihine geçti!,Spor,Haberturk
EuroCup yarı finalinde Türk randevusu!,Spor,Haberturk
Dünya Kupası'na son 1 adım!,Spor,Haberturk
"Galatasaray ""GS Kafe"" ile Türkiye’ye yayılıyor!",Spor,Haberturk
Fırtına öncesi Icardi zirvesi: Karar günü yarın!,Spor,Haberturk
Bahattin Sofuoğlu yarışı tamamlayamadı!,Spor,Haberturk
"Deniz Öncü, kaza yaptığı Dünya Moto2'de 20. oldu!",Spor,Haberturk
"N'golo Kante, Davinson Sanchez'i üzdü!",Spor,Haberturk
"Toprak Razgatlıoğlu, MotoGP'de tarihe geçti!",Spor,Haberturk
"""Türkiye maçını analiz ettiğimde çok öfkelendim""",Spor,Haberturk
"Anadolu Efes, evinde TOFAŞ'a geçit vermedi!",Spor,Haberturk
Mbappe'den Bayern Münih açıklaması!,Spor,Haberturk
"Nagelsmann, Leroy Sane'ye sahip çıktı!",Spor,Haberturk
Trabzonspor'da Salih Özcan harekâtı!,Spor,Haberturk
"Fenerbahçe Medicana, seride 1-0 öne geçti!",Spor,Haberturk
Ümit Milliler'in aday kadrosunda değişiklik!,Spor,Haberturk
Trabzonspor'da Ernest Muçi endişesi!,Spor,Haberturk
"Bursaspor, F.Bahçe Beko'yu uzatmalarda devirdi!",Spor,Haberturk
"""Montella'dan telefon bekliyorum!""",Spor,Haberturk
Tottenham'da Igor Tudor dönemi sona erdi!,Spor,Haberturk
Beşiktaş'tan Lucescu için geçmiş olsun mesajı!,Spor,Haberturk
"Can Öncü, Portekiz'de 8. oldu!",Spor,Haberturk
Fenerbahçe Opet'ten derbide büyük fark!,Spor,Haberturk
"""Kane 250 milyon Euro eder!""",Spor,Haberturk
Galatasaray'da Icardi 11'e dönüyor!,Spor,Haberturk
Galatasaray’dan Lucescu'ya geçmiş olsun paylaşımı,Spor,Haberturk
"Antrenmanda fenalaşan Lucescu, hastaneye kaldırıldı!",Spor,Haberturk
"Beşiktaş, derbi hazırlıklarını sürdürdü!",Spor,Haberturk
"Trabzonspor, İstanbul takımlarından 23 puan topladı!",Spor,Haberturk
"""Kupada ilerlemek zor ama imkansız değil""",Spor,Haberturk
Ümit Milli Futbol Takımı kadrosunda değişiklik!,Spor,Haberturk
Fenerbahçe'de Ognjen Mimovic gelişmesi!,Spor,Haberturk
Beşiktaş'tan gündem yeniden Ferreirinha!,Spor,Haberturk
"Sabalenka, Miami Açık'ta şampiyon!",Spor,Haberturk
Japonya Grand Prix'sinde zafer Antonelli'nin!,Spor,Haberturk
NBA'de San Antonio Spurs doludizgin!,Spor,Haberturk
Halkbank KBSL'de final heyecanı HT Spor'da!,Spor,Haberturk
Toprak Razgatlıoğlu sprint yarışını tamamlayamadı!,Spor,Haberturk
"""Yazın neler olacağını göreceğiz!""",Spor,Haberturk
"""Futbolu Galatasaray'da bırakabilirim!""",Spor,Haberturk
İngiliz devi Arda Güler'in peşinde!,Spor,Haberturk
A Milli Takım'ın Kosava maçına İngiliz hakem!,Spor,Haberturk
Tüpraş Stadı'nda sergi alanı açıldı!,Spor,Haberturk
"Agbadou ve Singo, Hyeon-gyu Oh'u üzdü!",Spor,Haberturk
"Can Öncü, Portekiz'de 25. oldu!",Spor,Haberturk
Galatasaray'da dev hedef: Bruno Fernandes!,Spor,Haberturk
Fenerbahçe Gönüllüleri Derneği’nde yeni dönem!,Spor,Haberturk
"Milliler, Kosova maçının hazırlıklarını sürdürdü!",Spor,Haberturk
G.Saray tek farkla kazandı!,Spor,Haberturk
Beşiktaş salonda çalıştı,Spor,Haberturk
Ümit Milliler'de Hırvatistan mesaisi!,Spor,Haberturk
8 gollü müthiş derbi!,Spor,Haberturk
Musaba'dan F.Bahçe ve transfer itirafı!,Spor,Haberturk
Ümit Milli Takım'da sakatlık!,Spor,Haberturk
"Fenerbahçe Beko taraftarları için ""yıldız"" projesi hayata geçirildi",Spor,Haberturk
Galatasaray'da zorlu fikstür!,Spor,Haberturk
Talisca'dan Beşiktaş derbisi sözleri!,Spor,Haberturk
"Tiger Woods, aracıyla takla attı",Spor,Haberturk
KBSL'de final heyecanı HT Spor'da!,Spor,Haberturk
Japonya'da pole pozisyonu Antonelli'nin!,Spor,Haberturk
Alperen'den galibiyete 14 sayılık katkı!,Spor,Haberturk
Torreira'dan transfer itirafı!,Spor,Haberturk
